AT1G01050
AT1G01100
AT1G01130
AT1G01320
AT1G01440
AT1G01780
AT1G01790
AT1G01840
AT1G01960
AT1G02330
AT1G02840
AT1G02870
AT1G03350
AT1G03590
AT1G03880
AT1G03930
AT1G03970
AT1G04400
AT1G04780
AT1G04950
AT1G05150
AT1G05805
AT1G06070
AT1G06210
AT1G06760
AT1G07110
AT1G07140
AT1G07360
AT1G07985
AT1G07990
AT1G08420
AT1G08590
AT1G08800
AT1G08830
AT1G09730
AT1G09770
AT1G09780
AT1G10140
AT1G10290
AT1G11360
AT1G11480
AT1G12000
AT1G12080
AT1G12360
AT1G12910
AT1G13020
AT1G13360
AT1G13440
AT1G13930
AT1G14000
AT1G14950
AT1G15040
AT1G15230
AT1G15280
AT1G15340
AT1G15750
AT1G15940
AT1G16520
AT1G16730
AT1G16850
AT1G16860
AT1G16970
AT1G17210
AT1G18210
AT1G18840
AT1G19350
AT1G19530
AT1G19870
AT1G20110
AT1G20340
AT1G20440
AT1G20450
AT1G20670
AT1G20760
AT1G20970
AT1G21200
AT1G21380
AT1G21660
AT1G21730
AT1G21750
AT1G22280
AT1G22310
AT1G22530
AT1G22790
AT1G24160
AT1G24267
AT1G24460
AT1G24560
AT1G24590
AT1G25260
AT1G26270
AT1G26470
AT1G26630
AT1G27090
AT1G27300
AT1G27500
AT1G27540
AT1G27850
AT1G28280
AT1G28420
AT1G29020
AT1G29220
AT1G29370
AT1G29400
AT1G29530
AT1G30230
AT1G30470
AT1G30480
AT1G30690
AT1G31730
AT1G31780
AT1G31870
AT1G31970
AT1G32400
AT1G32710
AT1G32790
AT1G33050
AT1G33680
AT1G33980
AT1G34220
AT1G35580
AT1G36310
AT1G43690
AT1G44835
AT1G45688
AT1G47200
AT1G47820
AT1G47970
AT1G48610
AT1G48620
AT1G49480
AT1G49520
AT1G50570
AT1G50620
AT1G50670
AT1G50920
AT1G51140
AT1G51510
AT1G51690
AT1G52380
AT1G52690
AT1G53165
AT1G53590
AT1G53840
AT1G54080
AT1G54270
AT1G54410
AT1G54860
AT1G55490
AT1G55860
AT1G56220
AT1G56290
AT1G57990
AT1G58200
AT1G59610
AT1G59710
AT1G59870
AT1G61100
AT1G61210
AT1G61730
AT1G62390
AT1G62480
AT1G63680
AT1G64110
AT1G65010
AT1G66410
AT1G66680
AT1G67050
AT1G67230
AT1G67310
AT1G67910
AT1G67950
AT1G68060
AT1G68070
AT1G68670
AT1G68720
AT1G68790
AT1G69030
AT1G69070
AT1G69200
AT1G69220
AT1G69410
AT1G69510
AT1G70320
AT1G70770
AT1G70830
AT1G71950
AT1G72150
AT1G72160
AT1G72390
AT1G72410
AT1G72690
AT1G72710
AT1G73450
AT1G73660
AT1G73670
AT1G74690
AT1G74840
AT1G74910
AT1G75220
AT1G75240
AT1G76070
AT1G76180
AT1G76380
AT1G76510
AT1G76810
AT1G76850
AT1G76880
AT1G76890
AT1G77300
AT1G78150
AT1G78230
AT1G78880
AT1G79090
AT1G79150
AT1G79280
AT1G79340
AT1G80180
AT1G80210
AT1G80680
AT1G80930
AT2G01190
AT2G01470
AT2G01750
AT2G02070
AT2G02080
AT2G03680
AT2G04865
AT2G07360
AT2G12875
AT2G13370
AT2G14835
AT2G16940
AT2G17150
AT2G17410
AT2G17480
AT2G17550
AT2G17560
AT2G17700
AT2G17980
AT2G19385
AT2G19470
AT2G19520
AT2G19710
AT2G20050
AT2G20190
AT2G20330
AT2G20950
AT2G21150
AT2G21230
AT2G21470
AT2G21660
AT2G22400
AT2G22560
AT2G23120
AT2G23520
AT2G24590
AT2G24940
AT2G25430
AT2G25670
AT2G25720
AT2G25970
AT2G26110
AT2G26460
AT2G26570
AT2G27090
AT2G27100
AT2G27285
AT2G27720
AT2G28000
AT2G29200
AT2G29210
AT2G30530
AT2G30620
AT2G30710
AT2G30880
AT2G30930
AT2G31370
AT2G32120
AT2G32150
AT2G32730
AT2G32910
AT2G33435
AT2G34357
AT2G35050
AT2G35410
AT2G35530
AT2G35880
AT2G36640
AT2G36960
AT2G37550
AT2G37660
AT2G37790
AT2G37970
AT2G38140
AT2G38280
AT2G38410
AT2G38770
AT2G39730
AT2G39810
AT2G40170
AT2G40500
AT2G40620
AT2G40840
AT2G41110
AT2G41740
AT2G41840
AT2G41900
AT2G42320
AT2G42560
AT2G42580
AT2G42590
AT2G43130
AT2G43650
AT2G43680
AT2G44060
AT2G44360
AT2G44440
AT2G44790
AT2G45430
AT2G45820
AT2G46630
AT2G46820
AT2G47330
AT3G01180
AT3G02180
AT3G02880
AT3G03050
AT3G03140
AT3G03170
AT3G04630
AT3G04910
AT3G05070
AT3G05090
AT3G05200
AT3G05270
AT3G05420
AT3G05900
AT3G06010
AT3G07610
AT3G07660
AT3G07790
AT3G07810
AT3G08550
AT3G08670
AT3G08710
AT3G09560
AT3G09670
AT3G09710
AT3G09980
AT3G10020
AT3G10360
AT3G10480
AT3G10530
AT3G10540
AT3G10730
AT3G10920
AT3G11820
AT3G12020
AT3G12390
AT3G12480
AT3G12780
AT3G13225
AT3G13235
AT3G13530
AT3G13920
AT3G13990
AT3G14840
AT3G15040
AT3G15260
AT3G15280
AT3G15450
AT3G15640
AT3G15670
AT3G15950
AT3G15970
AT3G16060
AT3G16270
AT3G16310
AT3G16420
AT3G16460
AT3G16620
AT3G16630
AT3G17420
AT3G17440
AT3G17520
AT3G17750
AT3G17850
AT3G17880
AT3G18230
AT3G18240
AT3G18390
AT3G18480
AT3G18640
AT3G18880
AT3G19420
AT3G19770
AT3G20050
AT3G20410
AT3G20550
AT3G21720
AT3G22190
AT3G22520
AT3G22850
AT3G23090
AT3G23900
AT3G23920
AT3G25840
AT3G26400
AT3G26910
AT3G26935
AT3G27350
AT3G27700
AT3G27850
AT3G28920
AT3G29575
AT3G42170
AT3G44200
AT3G45780
AT3G45830
AT3G46440
AT3G46510
AT3G46640
AT3G48050
AT3G48060
AT3G48530
AT3G48710
AT3G48800
AT3G49010
AT3G49260
AT3G49490
AT3G49590
AT3G49601
AT3G49800
AT3G50350
AT3G50370
AT3G50980
AT3G51160
AT3G51810
AT3G51880
AT3G51890
AT3G52240
AT3G52400
AT3G52860
AT3G52880
AT3G52920
AT3G52930
AT3G53040
AT3G53230
AT3G54170
AT3G54300
AT3G54610
AT3G54760
AT3G54780
AT3G55440
AT3G55460
AT3G55560
AT3G56150
AT3G56240
AT3G56490
AT3G56860
AT3G57930
AT3G58110
AT3G58170
AT3G58460
AT3G58680
AT3G58730
AT3G59290
AT3G60240
AT3G60750
AT3G61050
AT3G61260
AT3G61860
AT3G62240
AT3G62700
AT3G62900
AT3G63070
AT3G63130
AT4G00238
AT4G00752
AT4G01290
AT4G02510
AT4G03080
AT4G04210
AT4G05050
AT4G05150
AT4G06634
AT4G08350
AT4G09320
AT4G10480
AT4G11660
AT4G11740
AT4G11790
AT4G11860
AT4G12050
AT4G13350
AT4G14200
AT4G14380
AT4G14870
AT4G15410
AT4G15545
AT4G15790
AT4G15802
AT4G16110
AT4G16360
AT4G17060
AT4G17410
AT4G17520
AT4G17940
AT4G19150
AT4G19600
AT4G20150
AT4G20260
AT4G21160
AT4G21450
AT4G21460
AT4G22320
