code
AT1G01040
AT1G01050
AT1G01060
AT1G01070
AT1G01080
AT1G01090
AT1G01100
AT1G01110
AT1G01120
AT1G01130
AT1G01140
AT1G01150
AT1G01180
AT1G01190
AT1G01200
AT1G01220
AT1G01225
AT1G01240
AT1G01250
AT1G01260
AT1G01290
AT1G01300
AT1G01310
AT1G01320
AT1G01350
AT1G01355
AT1G01370
AT1G01400
AT1G01440
AT1G01450
AT1G01453
AT1G01460
AT1G01470
AT1G01480
AT1G01500
AT1G01510
AT1G01540
AT1G01550
AT1G01560
AT1G01580
AT1G01600
AT1G01610
AT1G01650
AT1G01660
AT1G01670
AT1G01680
AT1G01690
AT1G01695
AT1G01700
AT1G01715
AT1G01725
AT1G01730
AT1G01740
AT1G01760
AT1G01770
AT1G01780
AT1G01790
AT1G01800
AT1G01810
AT1G01820
AT1G01830
AT1G01840
AT1G01860
AT1G01880
AT1G01930
AT1G01940
AT1G01950
AT1G01960
AT1G01980
AT1G02000
AT1G02010
AT1G02020
AT1G02030
AT1G02040
AT1G02050
AT1G02065
AT1G02070
AT1G02080
AT1G02090
AT1G02100
AT1G02110
AT1G02120
AT1G02130
AT1G02150
AT1G02170
AT1G02190
AT1G02220
AT1G02230
AT1G02260
AT1G02280
AT1G02290
AT1G02300
AT1G02305
AT1G02330
AT1G02340
AT1G02360
AT1G02380
AT1G02400
AT1G02405
AT1G02460
AT1G02475
AT1G02500
AT1G02520
AT1G02530
AT1G02540
AT1G02560
AT1G02575
AT1G02580
AT1G02610
AT1G02630
AT1G02650
AT1G02660
AT1G02670
AT1G02700
AT1G02730
AT1G02740
AT1G02750
AT1G02770
AT1G02780
AT1G02800
AT1G02810
AT1G02830
AT1G02840
AT1G02850
AT1G02860
AT1G02870
AT1G02880
AT1G02890
AT1G02910
AT1G02950
AT1G02960
AT1G02970
AT1G02980
AT1G02990
AT1G03000
AT1G03010
AT1G03030
AT1G03050
AT1G03055
AT1G03060
AT1G03080
AT1G03090
AT1G03100
AT1G03103
AT1G03110
AT1G03120
AT1G03130
AT1G03140
AT1G03150
AT1G03160
AT1G03170
AT1G03190
AT1G03250
AT1G03280
AT1G03290
AT1G03300
AT1G03310
AT1G03320
AT1G03340
AT1G03350
AT1G03360
AT1G03365
AT1G03370
AT1G03380
AT1G03395
AT1G03400
AT1G03440
AT1G03445
AT1G03457
AT1G03475
AT1G03490
AT1G03520
AT1G03530
AT1G03560
AT1G03590
AT1G03600
AT1G03610
AT1G03620
AT1G03630
AT1G03650
AT1G03680
AT1G03710
AT1G03730
AT1G03740
AT1G03750
AT1G03760
AT1G03770
AT1G03780
AT1G03790
AT1G03800
AT1G03810
AT1G03820
AT1G03830
AT1G03840
AT1G03850
AT1G03870
AT1G03880
AT1G03900
AT1G03905
AT1G03910
AT1G03920
AT1G03930
AT1G03950
AT1G03960
AT1G03970
AT1G03980
AT1G03982
AT1G03990
AT1G04000
AT1G04010
AT1G04020
AT1G04030
AT1G04050
AT1G04070
AT1G04080
